0001106017,5010
0001109047,1216
0092M4F070,204
0120335012,18116
0120450015,28610
01221AA5L0,2424
0130002211,7434
0130002525,462
0130007325,604
018999901M,1448
0189999110,252
0192900006,131649
0204001935,3258
0204021464,9850
0204024332,1778
0204031050,2880
0204100062,560
0204103036,2364
0204103220,1186
0204113501,918
0204114001,1575
0204142050,2608
0204162072,2750
0204839599,1620
0205001029,4533
0206002113,32535
0212911001,432
0221100028,1372
0221500203,3744
0221504001,852
0221504460,3560
0227100123,750
0227900014,352
0232101002,6024
0240229004,3416
0240235010,2330
0241140522,450
0241145515,111
0241219541,80
0241219809,64
0241235689,31
0241236837,192
0241242502,85
0241256524,432
0250001010,76
0250201032,210
0250201939,608
0250312001,936
0251002001,127
0258002028,1640
0258004010,956
0258006014,297
0261210001,458
0261222009,568
0261230009,199
0261230150,1770
0261231007,1036
0261500005,5168
0261520011,7401
0263003333,1296
0265108017,43372
0280130012,336
0280140505,3164
0280150036,4564
0280150322,1737
0280158818,2916
0280160202,4170
0280217002,897
0280217007,3404
0280218175,1900
0280218199,4272
0280218207,4698
0281002072,10384
0281002182,2694
0281002241,5150
0281002311,833
0281002313,7965
0281002314,2031
0281002631,3985
0281002917,5283
0281004005,4923
0281006134,1036
0281006665,5705
0301008020,6390
0305001005,454
0306055101,696
0320223002,1840
0331100023,6768
0331302009,1800
0332002150,495
0332400002,936
0333009018,1749
0354120003,2322
0356904070,512
0356912052,316
0356912874,2050
0400464113,62995
0400844047,29679
0402204011,199584
0406008243,1553489
0414001002,1154
0414673999,13554
0414693006,9604
0414720039,80208
0414720403,22374
0414750003,34530
0432131613,7760
0433171001,585
0433171044,600
0433171433,1932
0433171594,1372
0437502003,1737
0445110002,9905
0445110284,11011
0450126002,1575
0450901003,413
0450906384,640
0451102056,26
0451103004,40
0451103046,128
0457104001,17
0580054001,11475
0580200001,427
0928404001,17608
0986010030,2468
0986010240,1698
0986010970,1499
0986030320,9100
0986030730,3651
0986262325,67059
0986280101,16568
0986284001,1995
0986285066,19152
0986310125,290
0986356300,2905
0986424016,1190
0986430002,1385
0986430080,1897
0986435001,10185
0986435350,6825
0986435502,12408
0986437002,18683
0986437106,3256
0986438508,904
0986440024,46416
0986440062,11233
0986441004,1753
0986441551,17200
0986444940,4564
0986445001,16401
098644D002,21398
098644D320,16390
0986475005,410
0986477002,117
0986478010,114
0986479009,1992
0986483001,50204
0986487002,450
0986495056,1112
0986580400,6920
0986625001,10428
0986626800,68
0986628250,390
0986628500,984
0986628537,366
0986FS0027,24066
1136201043,10629
1230210034,10
1234332074,41
1235522119,1400
1237013000,60
1237330035,75
1418303003,135
1418305504,306
1418502001,220
1418502203,148
1457030020,48
1460C85002,608
1466C06101,2451
1467010008,204
1467010360,426
1681105286,3696
1987301001,63
1987301084,336
1987301101,108
1987302411,35
1987302501,5
1987431155,159
1987431228,242
1987473000,261
1987474000,36
1987476002,54
1987477002,234
1987479021,68
1987945500,184
1987945700,110
1987946300,1160
1987946400,1800
1987947502,42
1987948707,600
1987949749,2352
2433101162,80
3032472343,2484
3137410004,264
3391014459,210
3397001359,2328
3397001696,64
3397001765,68
3397002918,436
3397004558,56
3397005828,280
3397006941,175
3397007072,570
3397007460,750
3397008841,180
3397118903,567
5000000150,17
7782319052,2012
8399110591,1882
F00E263258,2787
F00RJ00005,2226
F00RJ00339,1845
F00RJ02546,18
F00RJ02807,2016
F00RJ02813,13620
F026402143,1980
KS00000001,16780
KS00000002,6034
KS00000776,28530
KS00000807,21150
KS01000067,6118
KS01000396,2034
KS01000746,7851
KS01000819,26110
0001106017,5010
0001109047,1216
0092M4F070,204
0120335012,18116
0120450015,28610
01221AA5L0,2424
0130002211,7434
0130002525,462
0130007325,604
018999901M,1448
0189999110,252
0192900006,131649
0204001935,3258
0204021464,9850
0204024332,1778
0204031050,2880
0204100062,560
0204103036,2364
0204103220,1186
0204113501,918
0204114001,1575
0204142050,2608
0204162072,2750
0204839599,1620
0205001029,4533
0206002113,32535
0212911001,432
0221100028,1372
0221500203,3744
0221504001,852
0221504460,3560
0227100123,750
0227900014,352
0232101002,6024
0240229004,3416
0240235010,2330
0241140522,450
0241145515,111
0241219541,80
0241219809,64
0241235689,31
0241236837,192
0241242502,85
0241256524,432
0250001010,76
0250201032,210
0250201939,608
0250312001,936
0251002001,127
0258002028,1640
0258004010,956
0258006014,297
0261210001,458
0261222009,568
0261230009,199
0261230150,1770
0261231007,1036
0261500005,5168
0261520011,7401
0263003333,1296
0265108017,43372
0280130012,336
0280140505,3164
0280150036,4564
0280150322,1737
0280158818,2916
0280160202,4170
0280217002,897
0280217007,3404
0280218175,1900
0280218199,4272
0280218207,4698
0281002072,10384
0281002182,2694
0281002241,5150
0281002311,833
0281002313,7965
0281002314,2031
0281002631,3985
0281002917,5283
0281004005,4923
0281006134,1036
0281006665,5705
0301008020,6390
0305001005,454
0306055101,696
0320223002,1840
0331100023,6768
0331302009,1800
0332002150,495
0332400002,936
0333009018,1749
0354120003,2322
