0986440024, 46416
0986440062, 11233
0433171594, 1372
0433171433, 1932
2433101162, 80
0206002113, 32535
0986444940, 4564
0281002314, 2031
1418305504, 306
1418303003, 135
1418502203, 148
1418502001, 220
1467010008, 204
1467010360, 426
0281002313, 7965
F00RJ02807, 2016
0281002311, 833
0281002241, 5150
0281002631, 3985
F00RJ00339, 1845
F00RJ00005, 2226
1460C85002, 608
1466C06101, 2451
F00RJ02813, 13620
0204142050, 2608
0281006665, 5705
098644D320, 16390
0928404001, 17608
0281006134, 1036
098644D002, 21398
0261230150, 1770
0402204011, 199584
0406008243, 1553489
0986437002, 18683
0986437106, 3256
0986445001, 16401
0400844047, 29679
0400464113, 62995
0414673999, 13554
0414693006, 9604
0414750003, 34530
0986430080, 1897
0986430002, 1385
0986441551, 17200
0986441004, 1753
0986435001, 10185
0986435502, 12408
0986435350, 6825
0414720403, 22374
0432131613, 7760
0414720039, 80208
0414001002, 1154
0445110002, 9905
0445110284, 11011
0433171044, 600
0433171001, 585
